GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rest-api,com.example.api.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
rest-api,com.example.api.exception,GlobalExceptionHandler,57,3,0,0,14,1,5,1,5,1
rest-api,com.example.api.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
rest-api,com.example.api.entity,Author,10,26,0,0,4,10,3,6,3,6
rest-api,com.example.api.entity,Book,0,38,0,0,0,16,0,11,0,11
rest-api,com.example.api.config,StartupMessage,1,35,1,1,0,9,1,2,0,2
rest-api,com.example.api,RestApiApplication,5,3,0,0,2,1,1,1,1,1
rest-api,com.example.api.dto,BookDTO,0,45,0,0,0,13,0,13,0,13
rest-api,com.example.api.dto,AuthorDTO,14,17,0,0,6,8,4,5,4,5
rest-api,com.example.api.service.impl,AuthorServiceImpl,12,3,0,0,6,1,5,1,5,1
rest-api,com.example.api.service.impl,BookServiceImpl,379,105,47,5,65,24,40,6,15,5
rest-api,com.example.api.controller,AuthorController,14,27,0,0,3,6,2,4,2,4
rest-api,com.example.api.controller,GlobalBookController,127,3,8,0,24,1,6,1,2,1
rest-api,com.example.api.controller,BookController,25,144,3,5,6,27,4,7,1,6
